Name,Mobile,Role,Area,Task,Organization
Rohan Jadhav,9876501234,Volunteer,Pune – Swargate,Crowd Management,Pune Municipal Corporation
Sneha Kulkarni,9123456789,NGO Worker,Jejuri,Food & Water Distribution,Rotary Club Pune
Arjun Patil,9988776655,Police Officer,Lonand,Security Patrol,Maharashtra Police
Kavita Shinde,8877665544,Doctor / Medical,Pandharpur – Temple Zone,Medical Aid,Red Cross Maharashtra
Nitin More,7766554433,Volunteer,Phaltan,Route Guidance,NSS Unit COEP
Meera Deshpande,9090909090,Area Coordinator,Saswad,Crowd Management,District Administration
Sunil Kadam,8989898989,Volunteer,Pandharpur – Entry Gate,Lost & Found,NCC Maharashtra
Pooja Bhosale,7878787878,NGO Worker,Pune – Swargate,Food & Water Distribution,Akshaya Patra Foundation
Rahul Thorat,6767676767,Doctor / Medical,Jejuri,Medical Aid,Sassoon Hospital
Anita Gaikwad,9191919191,Police Officer,Pandharpur – Entry Gate,Security Patrol,Maharashtra Police
Deepak Nale,8282828282,Volunteer,Lonand,Crowd Management,NSS Fergusson College
Priti Pawar,7373737373,Area Coordinator,Pandharpur – Temple Zone,Route Guidance,Pandharpur Municipality
Vishal Waghmare,9494949494,Volunteer,Saswad,Lost & Found,Youth Congress Pune
Lata Borde,8585858585,Doctor / Medical,Phaltan,Medical Aid,Civil Hospital Satara
Amol Chavan,7676767676,NGO Worker,Jejuri,Food & Water Distribution,Goonj NGO
Ravi Salunkhe,9898989898,Police Officer,Lonand,Security Patrol,Maharashtra Police
Sunita Mane,8080808080,Volunteer,Pune – Swargate,Route Guidance,Teach For India Alumni
Kiran Jagtap,7171717171,Volunteer,Saswad,Crowd Management,COEP Student Council
Bharat Kumbhar,9292929292,Area Coordinator,Jejuri,Crowd Management,Jejuri Gram Panchayat
Manisha Desai,8383838383,NGO Worker,Phaltan,Food & Water Distribution,HelpAge India
